,source,target,type
1183,Sea level,Twin Mountains,mountain range
1184,San Francisco Bay,Isle of Wight,located in or next to body of water
1185,Ho Chi Minh City,Vietnam,country
1186,Côn Đảo,Alaska,located in the administrative territorial entity
1187,Taoism,Côn Đảo,instance of
1188,Thái Nguyên,Nha Trang,contains administrative territorial entity
1189,Nguyễn Văn Thiệu,Huế,work location
1190,Elizabeth II,San Francisco Bay,crosses
1191,Thailand,North Vietnam,country
1192,Zen,Mount Fuji,part of
1193,Marble Mountains (Vietnam),Da Nang,mountain range
1194,BBC News,Taoism,has part
1195,Atlantic Ocean,Côn Đảo,located in the administrative territorial entity
1196,Annamite Range,Huế,located on terrain feature
1197,Zen,Theres,has part
1198,Ho Chi Minh City,Mekong Delta,contains administrative territorial entity
1199,Vietnamese đồng,Hội An,located in the administrative territorial entity
1200,United States dollar,"Ann, Myanmar",has part
1201,Fujian,Simon Skjodt Assembly Hall,location
1202,Air Mekong,Ho Chi Minh City,subsidiary
1203,Indonesia,Japan,has part
1204,Vietnam,"Edam, Netherlands",country
1205,Phong Nha,Vietnam,country
1206,"Temple of Literature, Hanoi",Hoàn Kiếm Lake,location
1207,Phú Quốc,South Vietnam,located on terrain feature
1208,Kiên Giang Province,Phú Quốc,location
1209,Côn Đảo,"Van, Turkey",located in the administrative territorial entity
1210,Han River (Korea),Nguyễn dynasty,located in the administrative territorial entity
1211,Vietnam Museum of Ethnology,Hoàn Kiếm Lake,location
1212,Vietnam,Hoàn Kiếm Lake,country
1213,Vietnam,Ancient Greece,part of
1214,Caribbean,Hạ Long Bay,located in or next to body of water
1215,Pacific Ocean,Alaska,located on terrain feature
1216,Japan,Singapore,has part
1217,Sandhills (Nebraska),Trang Province,contains administrative territorial entity
1218,Da Nang,InterContinental Danang Sun Peninsula Resort,location
1219,"Ann, Myanmar",Phạm Văn Đồng,located in the administrative territorial entity
1220,Gautama Buddha,Quan Cong,location
1221,Vietnam,Dragon Bridge (Ljubljana),country
1222,United States dollar,Côn Đảo,sibling
1223,Vinh,Trang Airport,located in the administrative territorial entity
1224,French Indochina,Nguyễn dynasty,owned by
1225,French Indochina,French colonial empire,followed by
1226,Hanoi,Nguyễn dynasty,applies to jurisdiction
1227,Taoism,Vietnamese đồng,instance of
1228,Nguyễn Văn Linh,Han River (Korea),residence
1229,Nguyễn dynasty,Dragon Bridge (Da Nang),located in the administrative territorial entity
1230,Hàm Nghi,French Indochina,country of citizenship
1231,Jayavarman II,BBC News,said to be the same as
1232,Thái Nguyên,Trang Airport,contains administrative territorial entity
1233,Phú Quốc,Côn Đảo,located on terrain feature
1234,Perfume River,Huế,located in the administrative territorial entity
1235,Vietnam,Hoàn Kiếm Lake,located on terrain feature
1236,Trần dynasty,Taoism,sibling
1237,Hòa Vang District,Sơn Trà District,contains administrative territorial entity
1238,South Korea,China,has part
1239,Vietnamese đồng,United States dollar,instance of
1240,South Vietnam,Atlantic Ocean,located in or next to body of water
1241,Ho Chi Minh Highway,Dương Văn Minh,crosses
1242,Sơn Trà District,Da Nang,located on terrain feature
1243,Hội An,Nguyễn dynasty,country
1244,"French Village, Nova Scotia",Da Nang,located in the administrative territorial entity
1245,Nguyễn dynasty,Côn Đảo,residence
1246,Vietnam,Thailand,part of
1247,Vietnam,Nepal,has part
1248,Nguyễn dynasty,Mũi Né,residence
1249,Chàm Islands,Falkland Islands,instance of
1250,Thailand,Thái Nguyên,located in the administrative territorial entity
1251,Vietnam,Hang Sơn Đoòng,country of origin
1252,Herald Sun,Sunday Herald,publisher
1253,Vietnam,Han River (Korea),country
1254,Nepal,South Korea,has part
1255,Côn Đảo,Vietnam,country
1256,Côn Đảo,United States dollar,instance of
1257,"Gours, Gironde",Vietnam,country
1258,Phú Quốc National Park,Phú Quốc,located on terrain feature
1259,Đinh Bộ Lĩnh,Russian Aircraft Corporation MiG,location
1260,Vietnam,Nguyễn dynasty,country
1261,Da Nang,Mỹ Sơn,located in the administrative territorial entity
1262,Alaska,Mekong Delta,located in the administrative territorial entity
1263,Europe,"French Village, Nova Scotia",part of
1264,Mekong Delta,Bay Meadows Racetrack,has part
1265,InterContinental Hotels Group,InterContinental Danang Sun Peninsula Resort,followed by
1266,Vietnam Museum of Ethnology,Vietnam,location
1267,Da Nang,Đồng Hới,followed by
1268,Ho Chi Minh,Ho Chi Minh Museum,occupant
1269,Đồng Hới,Da Nang,contains administrative territorial entity
1270,Caribbean,Phú Quốc,located on terrain feature
1271,Phú Quốc,French Indochina,location
1272,Hoàng Su Phì District,Vietnam,country
1273,Mekong Delta,Cần Thơ,located in or next to body of water
1274,Vinh,Nha Trang,located in the administrative territorial entity
1275,Mekong Delta,Bay Meadows Racetrack,located on terrain feature
1276,Ho Chi Minh,Nguyễn dynasty,country of citizenship
1277,Bích Động,Vietnam,country
1278,China,Taoism,followed by
1279,China,Nepal,part of
1280,Mekong Delta,Vietnam,country
1281,China,Atlantic Ocean,located in or next to body of water
1282,Mù Cang Chải District,Hoàng Su Phì District,located in the administrative territorial entity
1283,Bai Tu Long Bay,Tu Long,tributary
1284,South China Sea,Tibet,country
1285,Alaska,Mekong Delta,located in or next to body of water
1286,Alaska,Ho Chi Minh City,contains administrative territorial entity
1287,Pagoda of the Celestial Lady,Thích Quảng Đức,residence
1288,Herald Sun,The Sun (United Kingdom),publisher
1289,South China Sea,Southeast Asia,located on terrain feature
1290,Falkland Islands,Chàm Islands,instance of
1291,Taoism,Vietnamese đồng,sibling
1292,Sơn Trà District,Da Nang,contains administrative territorial entity
1293,Phan Thiết,South China Sea,located in or next to body of water
1294,Vietnam,Central Vietnam,country
1295,South Vietnam,Mỹ Tho,country of origin
1296,Sun,Hạ Long Bay,part of
1297,United States dollar,Taoism,followed by
1298,Huế,Perfume River,located in or next to body of water
1299,Mainland Southeast Asia,Vietnam,country
1300,Sea level,Ho Chi Minh Highway,crosses
1301,Kiên Giang Province,Phú Quốc,located on terrain feature
1302,French colonial empire,France,movement
1303,Atlantic Ocean,Taoism,instance of
1304,Village,Town,located in the administrative territorial entity
1305,China,Mainland China,followed by
1306,BBC News,Central Highlands (Vietnam),has part
1307,Taoism,Atlantic Ocean,followed by
